101000000010925,GODREJ INDUSTRIES LTD,0,1,0.05,INE233A01035,0915-1530|1815-1915:17,2021-09-23,,NSE:GODREJIND-EQ,10,10,10925,GODREJIND
101000000010939,NIP IND ETF JUNIOR BEES,4,1,0.01,INF732E01045,0915-1530|1815-1915:17,2021-09-23,,NSE:JUNIORBEES-EQ,10,10,10939,JUNIORBEES
101000000010940,DIVI'S LABORATORIES LTD,0,1,0.05,INE361B01024,0915-1530|1815-1915:17,2021-09-23,,NSE:DIVISLAB-EQ,10,10,10940,DIVISLAB
101000000010948,THE STATE TRADING CORPN,0,1,0.05,INE655A01013,0915-1530|1815-1915:17,2021-09-23,,NSE:STCINDIA-EQ,10,10,10948,STCINDIA
101000000010990,RADICO KHAITAN LTD,0,1,0.05,INE944F01028,0915-1530|1815-1915:17,2021-09-23,,NSE:RADICO-EQ,10,10,10990,RADICO
101000000010993,INDO RAMA SYNTHETICS LTD,0,1,0.05,INE156A01020,0915-1530|1815-1915:17,2021-09-23,,NSE:INDORAMA-EQ,10,10,10993,INDORAMA
101000000010999,MARUTI SUZUKI INDIA LTD.,0,1,0.05,INE585B01010,0915-1530|1815-1915:17,2021-09-23,,NSE:MARUTI-EQ,10,10,10999,MARUTI
10100000001100,GARWARE TECH FIBRES LTD,0,1,0.05,INE276A01018,0915-1530|1815-1915:17,2021-09-23,,NSE:GARFIBRES-EQ,10,10,1100,GARFIBRES
101000000011006,NIP IND ETF LIQUID BEES,4,1,0.01,INF732E01037,0915-1530|1815-1915:17,2021-09-23,,NSE:LIQUIDBEES-EQ,10,10,11006,LIQUIDBEES
101000000011028,INFOBEANS TECHNO. LTD.,0,1,0.05,INE344S01016,0915-1530|1815-1915:17,2021-09-23,,NSE:INFOBEAN-BE,10,10,11028,INFOBEAN
101000000011032,SANGINITA CHEMICALS LTD,0,1,0.05,INE753W01010,0915-1530|1815-1915:17,2021-09-23,,NSE:SANGINITA-EQ,10,10,11032,SANGINITA
101000000011037,ICICIPRAMC - IPRU5008,4,1,0.01,INF109KC1E27,0915-1530|1815-1915:17,2021-09-23,,NSE:ICICIBANKN-EQ,10,10,11037,ICICIBANKN
101000000011039,DCM NOUVELLE LIMITED,0,1,0.05,INE08KP01019,0915-1530|1815-1915:17,2021-09-23,,NSE:DCMNVL-EQ,10,10,11039,DCMNVL
101000000011045,SATIA INDUSTRIES LIMITED,0,1,0.05,INE170E01023,0915-1530|1815-1915:17,2021-09-23,,NSE:SATIA-EQ,10,10,11045,SATIA
101000000011050,SIRCA PAINT INDIA LIMITED,0,1,0.05,INE792Z01011,0915-1530|1815-1915:17,2021-09-23,,NSE:SIRCA-EQ,10,10,11050,SIRCA
101000000011058,SECUREKLOUD TECH LIMITED,0,1,0.05,INE650K01021,0915-1530|1815-1915:17,2021-09-23,,NSE:SECURKLOUD-EQ,10,10,11058,SECURKLOUD
101000000011065,NATH BIO-GENES (I) LTD,0,1,0.05,INE448G01010,0915-1530|1815-1915:17,2021-09-23,,NSE:NATHBIOGEN-EQ,10,10,11065,NATHBIOGEN
101000000011076,AGRI-TECH (INDIA) LIMITED,0,1,0.05,INE449G01018,0915-1530|1815-1915:17,2021-09-23,,NSE:AGRITECH-BE,10,10,11076,AGRITECH
101000000011080,GRAND FOUNDRY LTD,0,1,0.05,INE534A01028,0915-1530|1815-1915:17,2021-09-23,,NSE:GFSTEELS-EQ,10,10,11080,GFSTEELS
101000000011082,LIBAS CONSU PRODUCTS LTD,0,1,0.05,INE908V01012,0915-1530|1815-1915:17,2021-09-23,,NSE:LIBAS-EQ,10,10,11082,LIBAS
